url,img,alt_text
/oneplus-10t-5g-moonstone-black-256-gb/p/itm9a8677129b2bf?pid=MOBGHBNGWSNHGCE3&lid=LSTMOBGHBNGWSNHGCE372IHLX&marketplace=FLIPKART&q=one+plus+&store=tyy%2F4io&srno=s_1_11&otracker=search&fm=organic&iid=285394df-2b7f-4719-9a79-2c6b074ff9eb.MOBGHBNGWSNHGCE3.SEARCH&ppt=None&ppn=None&ssid=n8iv63o0sg0000001678975598758&qH=886353a0635251b2,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/0/k/9/-original-imaghfmfhfqc9fxz.jpeg?q=70,"OnePlus 10T 5G (Moonstone Black, 256 GB)"
/oneplus-10t-5g-jade-green-256-gb/p/itm3f637fb950838?pid=MOBGHBNGYE5Z857G&lid=LSTMOBGHBNGYE5Z857GUGIQXV&marketplace=FLIPKART&q=one+plus+&store=tyy%2F4io&srno=s_1_12&otracker=search&fm=organic&iid=285394df-2b7f-4719-9a79-2c6b074ff9eb.MOBGHBNGYE5Z857G.SEARCH&ppt=None&ppn=None&ssid=n8iv63o0sg0000001678975598758&qH=886353a0635251b2,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/l/9/g/-original-imagkn6dknzhfhck.jpeg?q=70,"OnePlus 10T 5G (Jade Green, 256 GB)"
/oneplus-11-5g-eternal-green-128-gb/p/itm668119d115289?pid=MOBGMUGSSSJGKNDU&lid=LSTMOBGMUGSSSJGKNDUMJO6WV&marketplace=FLIPKART&q=one+plus+&store=tyy%2F4io&srno=s_1_13&otracker=search&fm=organic&iid=285394df-2b7f-4719-9a79-2c6b074ff9eb.MOBGMUGSSSJGKNDU.SEARCH&ppt=None&ppn=None&ssid=n8iv63o0sg0000001678975598758&qH=886353a0635251b2,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/r/8/3/11-5g-b0bqjlcqd3-oneplus-original-imagmugsquuygsbg.jpeg?q=70,"OnePlus 11 5G (?Eternal Green, 128 GB)"
/oneplus-10r-5g-forest-green-256-gb/p/itm6e7366aa0b25d?pid=MOBGHBZHNYJWY8JZ&lid=LSTMOBGHBZHNYJWY8JZIX6YZI&marketplace=FLIPKART&q=one+plus+&store=tyy%2F4io&srno=s_1_14&otracker=search&fm=organic&iid=285394df-2b7f-4719-9a79-2c6b074ff9eb.MOBGHBZHNYJWY8JZ.SEARCH&ppt=None&ppn=None&ssid=n8iv63o0sg0000001678975598758&qH=886353a0635251b2,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/j/b/o/-original-imageypzw8gumvyz.jpeg?q=70,"OnePlus 10R 5G (Forest Green, 256 GB)"
/oneplus-10r-sierra-black-128-gb/p/itm10b9b43146ada?pid=MOBGHBNGX9ZK6HQV&lid=LSTMOBGHBNGX9ZK6HQVQDNM39&marketplace=FLIPKART&q=one+plus+&store=tyy%2F4io&srno=s_1_15&otracker=search&fm=organic&iid=285394df-2b7f-4719-9a79-2c6b074ff9eb.MOBGHBNGX9ZK6HQV.SEARCH&ppt=None&ppn=None&ssid=n8iv63o0sg0000001678975598758&qH=886353a0635251b2,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/l/q/v/-original-imageyq5akea25we.jpeg?q=70,"OnePlus 10R (Sierra Black, 128 GB)"
/oneplus-10r-5g-sierra-black-256-gb/p/itmccf45a394ea16?pid=MOBGHBZHPKYXW8PA&lid=LSTMOBGHBZHPKYXW8PA2TBIOV&marketplace=FLIPKART&q=one+plus+&store=tyy%2F4io&srno=s_1_16&otracker=search&fm=organic&iid=285394df-2b7f-4719-9a79-2c6b074ff9eb.MOBGHBZHPKYXW8PA.SEARCH&ppt=None&ppn=None&ssid=n8iv63o0sg0000001678975598758&qH=886353a0635251b2,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/8/d/t/-original-imaggceexfwc4huw.jpeg?q=70,"OnePlus 10R 5G (Sierra Black, 256 GB)"
/oneplus-11-5g-eternal-green-256-gb/p/itm668119d115289?pid=MOBGMUHCGYAU8WX6&lid=LSTMOBGMUHCGYAU8WX6HAA4OB&marketplace=FLIPKART&q=one+plus+&store=tyy%2F4io&srno=s_1_17&otracker=search&fm=organic&iid=285394df-2b7f-4719-9a79-2c6b074ff9eb.MOBGMUHCGYAU8WX6.SEARCH&ppt=None&ppn=None&ssid=n8iv63o0sg0000001678975598758&qH=886353a0635251b2,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/r/8/3/11-5g-b0bqjlcqd3-oneplus-original-imagmugsquuygsbg.jpeg?q=70,"OnePlus 11 5G (?Eternal Green, 256 GB)"
/oneplus-10-pro-5g-emerald-forest-256-gb/p/itmcd1af0daf0394?pid=MOBGHBNGR4XQDEDQ&lid=LSTMOBGHBNGR4XQDEDQUT8KKK&marketplace=FLIPKART&q=one+plus+&store=tyy%2F4io&srno=s_1_18&otracker=search&fm=organic&iid=285394df-2b7f-4719-9a79-2c6b074ff9eb.MOBGHBNGR4XQDEDQ.SEARCH&ppt=None&ppn=None&ssid=n8iv63o0sg0000001678975598758&qH=886353a0635251b2,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/y/n/h/-original-imagdhvtjkha293f.jpeg?q=70,"OnePlus 10 Pro 5G (Emerald Forest, 256 GB)"
/oneplus-10r-5g-sierra-black-256-gb/p/itmccf45a394ea16?pid=MOBGGA29CAYJC3QH&lid=LSTMOBGGA29CAYJC3QHQRBKEC&marketplace=FLIPKART&q=one+plus+&store=tyy%2F4io&srno=s_1_19&otracker=search&fm=organic&iid=285394df-2b7f-4719-9a79-2c6b074ff9eb.MOBGGA29CAYJC3QH.SEARCH&ppt=None&ppn=None&ssid=n8iv63o0sg0000001678975598758&qH=886353a0635251b2,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/h/b/s/-original-imaggceexfwc4huw.jpeg?q=70,"OnePlus 10R 5G (Sierra Black, 256 GB)"
/oneplus-10r-5g-prime-blue-128-gb/p/itmccf45a394ea16?pid=MOBGGJMR6SNFJ7H7&lid=LSTMOBGGJMR6SNFJ7H7YTPI7J&marketplace=FLIPKART&q=one+plus+&store=tyy%2F4io&srno=s_1_20&otracker=search&fm=organic&iid=285394df-2b7f-4719-9a79-2c6b074ff9eb.MOBGGJMR6SNFJ7H7.SEARCH&ppt=None&ppn=None&ssid=n8iv63o0sg0000001678975598758&qH=886353a0635251b2,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/k/c/g/10r-5g-cph2423-oneplus-original-imaggjmqyhvutg8w.jpeg?q=70,"OnePlus 10R 5G (Prime Blue, 128 GB)"
/oneplus-7-mirror-grey-128-gb/p/itmdbcd3dd156000?pid=MOBFKFRFXVZTBXFQ&lid=LSTMOBFKFRFXVZTBXFQTFUIAF&marketplace=FLIPKART&q=one+plus+&store=tyy%2F4io&srno=s_1_21&otracker=search&fm=organic&iid=285394df-2b7f-4719-9a79-2c6b074ff9eb.MOBFKFRFXVZTBXFQ.SEARCH&ppt=None&ppn=None&ssid=n8iv63o0sg0000001678975598758&qH=886353a0635251b2,https://rukminim1.flixcart.com/image/312/312/k0bbb0w0/mobile/x/f/q/oneplus-7-gm1901-original-imafk4ywxhrqddvg.jpeg?q=70,"OnePlus 7 (Mirror Grey, 128 GB)"
/oneplus-10-pro-5g-emerald-forest-128-gb/p/itmca601c423f05f?pid=MOBGHBZHP7QQFFE8&lid=LSTMOBGHBZHP7QQFFE88IRMTX&marketplace=FLIPKART&q=one+plus+&store=tyy%2F4io&srno=s_1_22&otracker=search&fm=organic&iid=285394df-2b7f-4719-9a79-2c6b074ff9eb.MOBGHBZHP7QQFFE8.SEARCH&ppt=None&ppn=None&ssid=n8iv63o0sg0000001678975598758&qH=886353a0635251b2,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/l/j/q/-original-imagkgshx9kfayxq.jpeg?q=70,"OnePlus 10 Pro 5G (Emerald Forest, 128 GB)"
/oneplus-9-5g-astral-black-128-gb/p/itmc5d1c40d3c10e?pid=MOBGDH2PKQMJZFVP&lid=LSTMOBGDH2PKQMJZFVP4S5SQT&marketplace=FLIPKART&q=one+plus+&store=tyy%2F4io&srno=s_1_23&otracker=search&fm=organic&iid=285394df-2b7f-4719-9a79-2c6b074ff9eb.MOBGDH2PKQMJZFVP.SEARCH&ppt=None&ppn=None&ssid=n8iv63o0sg0000001678975598758&qH=886353a0635251b2,https://rukminim1.flixcart.com/image/312/312/l26hdow0/mobile/m/m/h/9-mt2111-oneplus-original-imagdh2zh7hbwyxh.jpeg?q=70,"OnePlus 9 5G (Astral Black, 128 GB)"
/oneplus-10t-5g-moonstone-black-256-gb/p/itm9a8677129b2bf?pid=MOBGHBNGHKM9BUJZ&lid=LSTMOBGHBNGHKM9BUJZXOP2TO&marketplace=FLIPKART&q=one+plus+&store=tyy%2F4io&srno=s_1_24&otracker=search&fm=organic&iid=285394df-2b7f-4719-9a79-2c6b074ff9eb.MOBGHBNGHKM9BUJZ.SEARCH&ppt=None&ppn=None&ssid=n8iv63o0sg0000001678975598758&qH=886353a0635251b2,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/0/k/9/-original-imaghfmfhfqc9fxz.jpeg?q=70,"OnePlus 10T 5G (Moonstone Black, 256 GB)"
